system:index,NDVI_01_Jan,NDVI_02_Feb,NDVI_03_Mar,NDVI_04_Apr,NDVI_05_May,NDVI_06_Jun,NDVI_07_Jul,NDVI_08_Aug,NDVI_09_Sep,NDVI_10_Oct,NDVI_11_Nov,NDVI_12_Dec,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_StdDev,class,.geo
61_0,0.73596793,0.6545682,0.3139657,0.22333449,0.7782527,0.87348723,0.7259669,0.3378429,0.14285715,-0.15734266,-0.28266034,0.16659583,0.87348723,0.37606966,-0.28266034,0.3633248297508786,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.68576103,0.6802995,0.49910507,0.45412645,0.63093925,0.6892585,0.7403967,0.49817568,0.20255063,0.7039228,0.43786666,0.5169689,0.7403967,0.5616143,0.20255063,0.14959148003558567,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.42998353,0.41201654,0.36271188,0.43386647,0.580126,0.5586959,0.57178843,0.5427418,0.72690606,0.6530662,0.60893273,0.504629,0.72690606,0.532122,0.36271188,0.10292893275034144,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.7539662,0.7534984,0.35366186,0.25850663,0.1881041,0.61019814,0.77360517,0.66899246,0.27389798,0.6010216,0.3144208,0.36041358,0.77360517,0.4925239,0.1881041,0.21132831201076063,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.77208835,0.7740471,0.3281768,0.25369686,0.18147685,0.615099,0.8393701,0.6998072,0.019141914,0.16015325,0.16343491,0.12541254,0.8393701,0.41099206,0.019141914,0.29074118893610246,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.72322124,0.78420836,0.63803077,0.44323736,0.5499813,0.8005497,0.8144451,0.667587,0.26833978,-0.1572595,0.47047618,0.3363465,0.8144451,0.5282636,-0.1572595,0.270245346736939,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.7876815,0.8213875,0.64002204,0.26397368,0.35694444,0.8207347,0.8032787,0.49396944,-0.19409762,-0.39726028,-0.22758621,0.24444444,0.8213875,0.36779103,-0.39726028,0.4231333952441352,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.24476796,0.6030813,0.5447638,0.33180103,0.16896302,0.7689946,0.80796254,0.54779035,0.19160838,-0.25639567,-0.19055118,0.22738267,0.80796254,0.33251408,-0.25639567,0.32492752450818385,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.66334593,0.7223658,0.32080328,0.22810932,0.51186746,0.62757176,0.8054304,0.20674428,0.20900321,0.75545853,0.111979164,0.058512647,0.8054304,0.4350993,0.058512647,0.26184134794212094,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.63001484,0.72931296,0.31982476,0.19492063,0.7279542,0.650623,0.7582177,0.30774552,0.34058276,0.7619451,0.37796807,0.17152104,0.7619451,0.49755254,0.17152104,0.22174701432143765,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.5804588,0.72046226,0.30549586,0.24008575,0.54461294,0.6870229,0.7998459,0.26801154,0.41530818,0.2887828,0.4647343,0.17378734,0.7998459,0.45738405,0.17378734,0.1997517066716097,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.7653359,0.81437343,0.6498219,0.19876543,0.62872714,0.8013038,0.81718284,0.17744154,0.56207365,0.3624313,0.111794874,0.28714612,0.81718284,0.5146998,0.111794874,0.2599072711961688,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,0.7712713,0.82550335,0.6575096,0.20508054,0.62352145,0.7432624,0.8277938,0.18723038,0.58339405,0.21652421,0.08571429,0.29741302,0.8277938,0.5020182,0.08571429,0.26940882750635575,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
